length,insertion_sort_key_comparison,merge_sort_key_comparison,insertion_sort_time,merge_sort_time
1000,237305,0.0020387172698974,8704,0.0002801418304443
2000,1001936,0.0039629936218261,19419,0.0005719661712646
3000,2211623,0.007077932357788,30970,0.0010690689086914
1000,999,0.0002739429473876,4932,0.0002570152282714
2000,1999,0.0006840229034423,10864,0.000533103942871
3000,2999,0.0007810592651367,16828,0.0009121894836425
4000,3999,0.0007281303405761,23728,0.0009496212005615
5000,4999,0.0009007453918457,29804,0.0011887550354003
6000,5999,0.0011360645294189,36656,0.0015091896057128
7000,6999,0.0021028518676757,43628,0.0024309158325195
8000,7999,0.0015130043029785,51456,0.0020208358764648
4000,4040894,0.0178492069244384,42822,0.0012648105621337
5000,6345366,0.019197940826416,55178,0.0014457702636718
1000,499500,0.0021650791168212,5044,0.0003130435943603
2000,1999000,0.0070400238037109,11088,0.0005590915679931
3000,4498500,0.0130879878997802,18076,0.0007011890411376
4000,7998000,0.0256209373474121,24176,0.0017759799957275
5000,12497500,0.0375311374664306,32004,0.0026271343231201
6000,17997000,0.0540916919708251,39152,0.0014657974243164
7000,24496500,0.0778648853302002,46180,0.0016632080078125
8000,31996000,0.0992407798767089,52352,0.0019328594207763
6000,9029202,0.0320770740509033,67735,0.0017809867858886
9000,8999,0.0016300678253173,57820,0.0024328231811523
9000,40495500,0.1227872371673584,60796,0.0021986961364746
7000,12040848,0.0392401218414306,80625,0.0022032260894775
8000,15861948,0.0504970550537109,93624,0.0031538009643554
10000,25154809,0.0785090923309326,120492,0.003925085067749
9000,20387772,0.0646889209747314,106964,0.0038049221038818
10000,9999,0.0018110275268554,64608,0.0024120807647705
20000,19999,0.0038678646087646,139216,0.0051989555358886
20000,99584247,0.3186068534851074,260824,0.006227970123291
10000,49995000,0.1544609069824218,69008,0.0024769306182861
20000,199990000,0.6125810146331787,148016,0.0049982070922851
30000,449985000,1.3142178058624268,227728,0.0074319839477539
40000,799980000,2.3513426780700684,316032,0.0103700160980224
30000,29999,0.0054681301116943,219504,0.0073111057281494
1000,249341,0.0008859634399414,8696,0.0002670288085937
2000,1013908,0.0039448738098144,19386,0.0006840229034423
3000,2237403,0.0081181526184082,30883,0.00101900100708
40000,39999,0.0087759494781494,298432,0.0120010375976562
30000,225915290,0.6770219802856445,408598,0.0096750259399414
4000,4073538,0.012261152267456,42786,0.0011510848999023
1000,999,0.0001969337463378,4932,0.0002329349517822
2000,1999,0.0003688335418701,10864,0.0004658699035644
3000,2999,0.0005440711975097,16828,0.0007088184356689
4000,3999,0.0007288455963134,23728,0.0009520053863525
5000,4999,0.000925064086914,29804,0.0011930465698242
6000,5999,0.0015718936920166,36656,0.0019819736480712
7000,6999,0.0015130043029785,43628,0.0019981861114501
50000,1249975000,3.545592784881592,401952,0.0130059719085693
8000,7999,0.0014300346374511,51456,0.0019850730895996
9000,8999,0.0016288757324218,57820,0.0022246837615966
5000,6271786,0.0187289714813232,55272,0.001457929611206
6000,9056382,0.0268030166625976,67804,0.0017890930175781
50000,49999,0.0106399059295654,382512,0.0149357318878173
7000,12207599,0.0421700477600097,80606,0.0021979808807373
8000,16107225,0.0456037521362304,93732,0.0023689270019531
9000,20046622,0.0562028884887695,106975,0.0026462078094482
60000,59999,0.0129978656768798,469008,0.0181260108947753
1000,247377,0.0010521411895751,8743,0.0003149509429931
2000,1011733,0.0037920475006103,19435,0.0006310939788818
3000,2254300,0.006937026977539,30937,0.00083589553833
1000,999,0.0001909732818603,4932,0.0002229213714599
2000,1999,0.0003540515899658,10864,0.0004479885101318
3000,2999,0.0005228519439697,16828,0.0006818771362304
4000,3999,0.0009903907775878,23728,0.0013430118560791
5000,4999,0.0010669231414794,29804,0.0014119148254394
6000,5999,0.0012719631195068,36656,0.0017220973968505
7000,6999,0.0014693737030029,43628,0.0019350051879882
8000,7999,0.0016701221466064,51456,0.0021510124206542
60000,1799970000,5.152169942855835,485456,0.0156469345092773
70000,-1845002296,7.116965055465698,573728,0.0181901454925537
4000,3980381,0.0124433040618896,42839,0.0015428066253662
5000,6253431,0.0187861919403076,55221,0.0014820098876953
80000,-1095007296,9.32048773765564,672064,0.0214178562164306
9000,8999,0.0015859603881835,57820,0.0022499561309814
40000,399738569,1.1673626899719238,561554,0.0132420063018798
6000,8925038,0.0277478694915771,67781,0.0018501281738281
1000,499500,0.0016782283782958,5044,0.0002398490905761
2000,1999000,0.0062358379364013,11088,0.0004842281341552
3000,4498500,0.0138020515441894,18076,0.0007381439208984
4000,7998000,0.0242040157318115,24176,0.00099778175354
5000,12497500,0.0360691547393798,32004,0.0011441707611083
6000,17997000,0.0515370368957519,39152,0.0014262199401855
7000,24496500,0.071437120437622,46180,0.0017549991607666
8000,31996000,0.0958137512207031,52352,0.0019540786743164
90000,-245012296,11.709816217422484,765248,0.0244836807250976
7000,12296077,0.0375239849090576,80625,0.0021629333496093
8000,15931827,0.0483589172363281,93637,0.0024938583374023
9000,40495500,0.1154768466949462,60796,0.0022592544555664
9000,20247723,0.0596270561218261,106951,0.0026690959930419
